brand,name,price,concentration,gender,scents,base_note,middle_note,Gender_encoded,scent_strength,price_normalized,notes_diversity,base_note_0,base_note_1,base_note_2,base_note_3,base_note_4,base_note_5,base_note_6,base_note_7,base_note_8,base_note_9,base_note_10,base_note_11,middle_note_0,middle_note_1,middle_note_2,middle_note_3,middle_note_4,middle_note_5,middle_note_6,middle_note_7,middle_note_8,middle_note_9,middle_note_10,middle_note_11,Woody,Floral,Arabian,Spicy,Oriental,Fruity,Fresh,Citrus,Vanilla,Musk,Aromatic,Jasmine,Rose,Sandalwood,Clean
Yves Saint Laurent,L'Homme,273.8,EDT,Men,Woody,"Tonka Bean, Tahitian Vetiver, Cedar","Spices, White Pepper, Basil, Violet Leaf",1,1.0,0.2984435797665369,7,Tonka Bean,Tahitian Vetiver,Cedar,,,,,,,,,,Spices,White Pepper,Basil,Violet Leaf,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLOE,Love Story,274.95,EDP,Women,Floral,"Musk, Cedar, Cashmirwood, Patchouli","Orange Blossom, Stephanotis, Rose, Black Currant, Peach",0,2.0,0.2997220678154529,9,Musk,Cedar,Cashmirwood,Patchouli,,,,,,,,,Orange Blossom,Stephanotis,Rose,Black Currant,Peach,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NARCISO RODRIGUEZ,Narciso Rouge,275.15,EDP,Women,Woody,"Cedar Wood, Tonka Beans, Vetiver",Musk,0,2.0,0.2999444135630905,4,Cedar Wood,Tonka Beans,Vetiver,,,,,,,,,,Musk,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DORALL COLLECTION,24 Pure,9.85,EDT,Men,Fresh,"Amber, Musk, Sandalwood, Coumarin, Vanilla","Pink Pepper, Cardomon, Cinnamon, Jasmin, Cumin, Red Fruits, Lily, Nutmeg",1,1.0,0.0050027793218454,14,Amber,Musk,Salwood,Sandalwood,Coumarin,Vanilla,,,,,,,Pink Pepper,Cardomon,Cinnamon,Jasmin,Cumin,Red Fruits,Lily,Nutmeg,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rasasi,Romance,35.25,EDP,Women,Floral,"Amber, Musk, Powdery Notes, Cedar and Sandalwood","Rose,Jasmine",0,2.0,0.0332406892718176,8,Amber,Musk,Powdery Notes,Cedar,Salwood,Sandalwood,,,,,,,Rose,Jasmine,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUCHERON,Quatre,171.5,EDP,Women,Floral,Golden Woods Musk,"Sambac Jasmine Absolute, Rose Absolute",0,2.0,0.1847137298499166,3,Golden Woods Musk,,,,,,,,,,,,Sambac Jasmine Absolute,Rose Absolute,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NARCISO RODRIGUEZ,Narciso Rodriguez,200.0,EDP,Women,Floral,Patchouli and Sandalwood,Amber and Musk,0,2.0,0.2163979988882712,5,Patchouli,Salwood,Sandalwood,,,,,,,,,,Amber,Musk,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alina Corel,Monsieur Intense Gold,31.45,EDP,Unisex,Woody,"Rare Wood, Amber Fat, White Musk","Shepherd, Saffron, Teak Wood, Gaiak Wood",2,2.0,0.0290161200667037,7,Rare Wood,Amber Fat,White Musk,,,,,,,,,,Shepherd,Saffron,Teak Wood,Gaiak Wood,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Revlon,Charlie Gold,43.0,EDT,Women,Woody,"Sandalwood, Cedar Wood, Vanilla, Caramel Musk, Woody Accords","Jasmine, Rose, Muget, Freesia, Cinnamon",0,1.0,0.0418565869927737,11,Salwood,Sandalwood,Cedar Wood,Vanilla,Caramel Musk,Woody Accords,,,,,,,Jasmine,Rose,Muget,Freesia,Cinnamon,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TED LAPIDUS,Pour Homme,44.45,EDT,Men,Woody,"Sandalwood, tonka bean, amber, patchouli, musk, oakmoss, cedar, tobacco","Pine tree, honey, orris root, jasmine, caraway, petitgrain, lily-of-the-valley, rose, brazilian rosewood, incense",1,1.0,0.0434685936631461,19,Salwood,Sandalwood,tonka bean,amber,patchouli,musk,oakmoss,cedar,tobacco,,,,Pine tree,honey,orris root,jasmine,caraway,petitgrain,lily-of-the-valley,rose,brazilian rosewood,incense,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Britney Spears,Fantasy,90.0,EDP,Women,Vanilla,"Luid Sandalwood, Jasmine, Amber, Vanilla","Sweet Napolitano Cake, Verbena, Jacaranda Wood, Grapefruit Blossom",0,2.0,0.0941078376876042,10,Luid S,Sandalwood,Jasmine,Amber,Vanilla,,,,,,,,Sweet Napolitano Cake,Verbena,Jacar,a Wood,Grapefruit Blossom,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GUCCI,Bloom Aqua Di Fiori,311.8,EDT,Women,Fruity,Jasmine,Tuberose,0,1.0,0.3406892718176765,2,Jasmine,,,,,,,,,,,,Tuberose,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Yves Saint Laurent,Body Kouros,203.6,EDT,Men,Woody,Benzoin,"Chinese Cedar, Clary Sage",1,1.0,0.2204002223457476,3,Benzoin,,,,,,,,,,,,Chinese Cedar,Clary Sage,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Van Cleef & Arpels,First,170.95,EDT,Women,Floral,"Honey, Sandalwood, Tonka Bean, Amber, Musk, Civet, Vanilla, Oakmoss, Vetiver","Carnation, Tuberose, Orchid, Orris Root, Jasmine, Hiacynth, Turkish Rose, Ylang-Ylang, Lily-Of-The-Valley, Narcissus",0,1.0,0.1841022790439132,20,Honey,Salwood,Sandalwood,Tonka Bean,Amber,Musk,Civet,Vanilla,Oakmoss,Vetiver,,,Carnation,Tuberose,Orchid,Orris Root,Jasmine,Hiacynth,Turkish Rose,Ylang-Ylang,Lily-Of-The-Valley,Narcissus,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NARCISO RODRIGUEZ,Narciso Rodriguez,226.0,EDP,Women,Musk,"Patchouli, Sandalwood","Amber, Musk",0,2.0,0.2453029460811562,5,Patchouli,Salwood,Sandalwood,,,,,,,,,,Amber,Musk,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S.T.Dupont,S.T. Dupont,79.35,EDT,Men,Spicy,"Sandalwood, Amber, Patchouli, Musk and Coconut","Carnation, Cypress, Iris, Cinnamon, Lavender and Jasmine",1,1.0,0.0822679266259032,12,Salwood,Sandalwood,Amber,Patchouli,Musk,Coconut,,,,,,,Carnation,Cypress,Iris,Cinnamon,Lavender,Jasmine,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Estee Lauder,Knowing,220.0,EDP,Women,Woody,"Oakmoss, Vetiver, Sandalwood and Amber","Jasmine, Patchouli and Orange Flower",0,2.0,0.2386325736520289,8,Oakmoss,Vetiver,Salwood,Sandalwood,Amber,,,,,,,,Jasmine,Patchouli,Orange Flower,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geoffrey Beene,Grey Flannel For Men,79.0,EDT,Men,Woody,"Tonka Bean, Almond, Oakmoss, Vetiver and Cedar","Mimose, Iris, Violet, Sage, Rose, Geranium and Narcissus",1,1.0,0.0818788215675375,12,Tonka Bean,Almond,Oakmoss,Vetiver,Cedar,,,,,,,,Mimose,Iris,Violet,Sage,Rose,Geranium,Narcissus,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dolce & Gabbana,The Only One,187.3,EDP,Women,"Oriental, Floral","Marshmallow, Vanilla, Sandalwood And Heliotrope","Coffee, Iris",0,2.0,0.2022790439132852,6,Marshmallow,Vanilla,Salwood,alwood  Heliotrope,,,,,,,,,Coffee,Iris,,,,,,,,,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Rasasi,Al Wisam Day,76.0,EDP,Men,Oriental,"Oak Moss, And Rich And Musty Oud","Amber Nuanced Clary Sage, Soft And Milky Sandalwood, And Woody Cedarwood",1,2.0,0.0785436353529738,6,Oak Moss,Rich  Musty Oud,,,,,,,,,,,Amber Nuanced Clary Sage,Soft  Milky S,Sandalwood,Woody Cedarwood,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mancera,Black Vanilla,296.0,EDP,Unisex,Woody,Vanilla Pods from Madagascar and White Musk,"Delicate Bulgarian Rose, Violet, and Jasmine",2,2.0,0.3231239577543079,6,Vanilla Pods from Madagascar,White Musk,,,,,,,,,,,Delicate Bulgarian Rose,Violet,,Jasmine,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dior,Addict,333.8,EDP,Women,Floral,"Bourbon Vanilla, Sandal Wood And Tonka Bean","Night Queen Flower, Bulgarian Rose And Orange Flower",0,2.0,0.3651473040578099,5,Bourbon Vanilla,Salwood,al Wood  Tonka Bean,,,,,,,,,,Night Queen Flower,Bulgarian Rose  Orange Flower,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S.T.Dupont,Passenger,108.9,EDT,Men,Spicy,"Guaiac Wood, Benzoin","Ginger, Cardamom, Pink Pepper, Lavender",1,1.0,0.1151195108393552,6,Guaiac Wood,Benzoin,,,,,,,,,,,Ginger,Cardamom,Pink Pepper,Lavender,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BURBERRY,Brit Rhythm Intense,136.65,EDT,Men,Spicy,"Cashmere Wood,Coumarin,Guaiac Wood,Leather,Sandalwood,Tonka Beans,Vanilla","Amber,Basil,Lavender,Mint,Patchouli",1,1.0,0.1459699833240689,13,Cashmere Wood,Coumarin,Guaiac Wood,Leather,Salwood,Sandalwood,Tonka Beans,Vanilla,,,,,Amber,Basil,Lavender,Mint,Patchouli,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Calvin Klein,CK Be,108.3,EDT,Men,Floral,"Musk, Sandalwood, Cedar, Vanilla, Opoponax, Amber","Green Grass, Peach, Jasmine, Freesia, Magnolia, Orchid",1,1.0,0.1144524735964424,13,Musk,Salwood,Sandalwood,Cedar,Vanilla,Opoponax,Amber,,,,,,Green Grass,Peach,Jasmine,Freesia,Magnolia,Orchid,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GUCCI,Guilty,214.9,EDT,Women,Floral,"Patchouli, Amber","Raspberry Vilolet, Lilac, Peach",0,1.0,0.2329627570872707,5,Patchouli,Amber,,,,,,,,,,,Raspberry Vilolet,Lilac,Peach,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AIGNER,Starlight,126.95,EDP,Women,Floral,"Patchouli, Sandalwood, Vanilla and White Musk","Cumin, Jasmine and Strawberries",0,2.0,0.1351862145636465,8,Patchouli,Salwood,Sandalwood,Vanilla,White Musk,,,,,,,,Cumin,Jasmine,Strawberries,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BENTLEY,Azure,107.0,EDT,Men,Citrus,"Cashmere Wood, Tonka Bean and Orcanox","Pimento, Tea Accord, Lavender and Clary Sage",1,1.0,0.1130072262367982,7,Cashmere Wood,Tonka Bean,Orcanox,,,,,,,,,,Pimento,Tea Accord,Lavender,Clary Sage,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
VERSACE,Dylan Blue,20.5,EDT,Men,Citrus,"Frankincense, Musk, Saffron, Tonka Beans","Ambroxan, Black Pepper, Papyrus, Patchouli, Violet Leaves",1,1.0,0.0168426903835464,9,Frankincense,Musk,Saffron,Tonka Beans,,,,,,,,,Ambroxan,Black Pepper,Papyrus,Patchouli,Violet Leaves,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Estee Lauder,Modern Muse,164.4,EDP,Women,Floral,"Amber, Musk, Patchouli, Woody Notes","Honey Suckle, Jasmine Sambac, Lily, Tuberose",0,2.0,0.1768204558087826,8,Amber,Musk,Patchouli,Woody Notes,,,,,,,,,Honey Suckle,Jasmine Sambac,Lily,Tuberose,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Yves Saint Laurent,La Nuit De L'Homme L'Intense,204.0,EDP,Men,Vanilla,"Tonka Bean, Patchouli","Vanilla, Sage",1,2.0,0.2208449138410227,4,Tonka Bean,Patchouli,,,,,,,,,,,Vanilla,Sage,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Juicy Couture,Vivi La Juicy Limited Edition,154.1,EDP,Women,Floral,"Amber, Caramel, Vanilla, Sandalwood and Pralines","Honeysuckle, Gardenia, and Jasmine",0,2.0,0.1653696498054474,10,Amber,Caramel,Vanilla,Salwood,Sandalwood,Pralines,,,,,,,Honeysuckle,Gardenia,,Jasmine,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Laura Mars,Splandid,36.0,EDP,Women,Floral,"Vanilla, Amber","Jasmine, Geranium, Neroli and Ylang-Ylan",0,2.0,0.0340744858254585,6,Vanilla,Amber,,,,,,,,,,,Jasmine,Geranium,Neroli,Ylang-Ylan,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GIORGIO ARMANI,Stronger With You,170.0,EDT,Men,Vanilla,"Vanilla, Chestnut, Cedar, Amber wood, Guaiac Wood","Pineapple, Sage, Melon, Cinnamon, Lavender",1,1.0,0.1830461367426348,10,Vanilla,Chestnut,Cedar,Amber wood,Guaiac Wood,,,,,,,,Pineapple,Sage,Melon,Cinnamon,Lavender,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CHLOE,Chloe,186.0,EDP,Women,Floral,"Cedar, Amber","Magnolia, Lily-of-the-valley, Rose",0,2.0,0.2008337965536409,5,Cedar,Amber,,,,,,,,,,,Magnolia,Lily-of-the-valley,Rose,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HERMES,Terre D'Hermes,9.55,EDT,Men,Citrus,"Patchouli, Cedar, Vetiver and Benzoin",Pepper and Pelargonium,1,1.0,0.0046692607003891,6,Patchouli,Cedar,Vetiver,Benzoin,,,,,,,,,Pepper,Pelargonium,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Elizabeth Arden,5Th Avenue,89.4,EDP,Women,Floral,"Amber, Vanilla, Clove, Iris, Musk, Sandalwood","Peach, Jasmine, Bulgarian Rose, Violet, Tuberose, Carnation, Nutmeg, Ylang-Ylang",0,2.0,0.0934408004446915,15,Amber,Vanilla,Clove,Iris,Musk,Salwood,Sandalwood,,,,,,Peach,Jasmine,Bulgarian Rose,Violet,Tuberose,Carnation,Nutmeg,Ylang-Ylang,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
VERSACE,Dylan Blue,217.85,EDT,Men,Fresh,"Incense, Musk, Tonka Bean, Saffron","Ambroxan, Patchouli, Black Pepper, Violet Leaf, Papyrus",1,1.0,0.2362423568649249,9,Incense,Musk,Tonka Bean,Saffron,,,,,,,,,Ambroxan,Patchouli,Black Pepper,Violet Leaf,Papyrus,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Benetton,Hot Gold,27.45,EDT,Women,Fresh,"Amber, Musk, Sandalwood","Carambola, Rose, Mimosa",0,1.0,0.0245692051139522,7,Amber,Musk,Salwood,Sandalwood,,,,,,,,,Carambola,Rose,Mimosa,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PACO RABANNE,Invictus,210.0,EDT,Men,Citrus,Guaiac Wood and Patchouli Heart,Ambregris Accord and Grapefruit Zests,1,1.0,0.22751528627015,4,Guaiac Wood,Patchouli Heart,,,,,,,,,,,Ambregris Accord,Grapefruit Zests,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Roberto Cavalli,Nero Assoluto,129.55,EDP,Women,Arabian,"Ebony, Woodsy Notes",Vanilla,0,2.0,0.1380767092829349,3,Ebony,Woodsy Notes,,,,,,,,,,,Vanilla,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DORALL COLLECTION,Scholar,9.45,EDT,Men,Floral,"Patchouli, Moss, Woody-Amber, Sandalwood, Musk, Dry Woods.","Jasmine, Peach, Apple, Green Notes, Lavender, Muguet, Dried Fruits.",1,1.0,0.0045580878265703,14,Patchouli,Moss,Woody-Amber,Salwood,Sandalwood,Musk,Dry Woods.,,,,,,Jasmine,Peach,Apple,Green Notes,Lavender,Muguet,Dried Fruits.,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Calvin Klein,Eternity,100.0,EDT,Men,Floral,"Sandalwood, Amber, Musk, Vetiver and Brazilian Rosewood","Coriander, Lily, Orange Blossom, Juniper Berries, Basil, Jasmine, Sage, Lily-of-the-Valley and Geranium",1,1.0,0.105225125069483,16,Salwood,Sandalwood,Amber,Musk,Vetiver,Brazilian Rosewood,,,,,,,Cori,er,Lily,Orange Blossom,Juniper Berries,Basil,Jasmine,Sage,Lily-of-the-Valley,Geranium,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Juicy Couture,Viva La Juicy Noir,144.45,EDP,Women,Fruity,"Amber, Caramel, Vanilla And Sandalwood","Gardenia, Honeysuckle And Jasmine",0,2.0,0.1546414674819344,6,Amber,Caramel,Vanilla  S,Sandalwood,,,,,,,,,Gardenia,Honeysuckle  Jasmine,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PACO RABANNE,Lady Million,210.0,EDP,Women,Floral,Gardenia,Arabic Jasmine and African Orange Flower,0,2.0,0.22751528627015,3,Gardenia,,,,,,,,,,,,Arabic Jasmine,African Orange Flower,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Giorgio Beverly Hills,giorgio,120.0,EDT,Women,Floral,"Sandalwood, Patchouli, Vanilla, Amber, Cedar, Oakmoss, Musk","Ylang-ylang, Seductive Tuberose, Gardenia, Jasmine, Rose, Orchid",0,1.0,0.1274596998332407,14,Salwood,Sandalwood,Patchouli,Vanilla,Amber,Cedar,Oakmoss,Musk,,,,,Ylang-ylang,Seductive Tuberose,Gardenia,Jasmine,Rose,Orchid,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Guerlain,Idylle,256.0,EDP,Women,Floral,Amber Accord and Sandalwood,"Magnolia, Jasmine and Ylang Ylang",0,2.0,0.2786548082267926,6,Amber Accord,Salwood,Sandalwood,,,,,,,,,,Magnolia,Jasmine,Ylang Ylang,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Yves Saint Laurent,Libre,410.0,EDP,Women,Floral,"Amber, Vanilla, Ambergris, Musk","Orange Blossom, Jasmine, Lavender",0,2.0,0.4498610339077264,7,Amber,Vanilla,Ambergris,Musk,,,,,,,,,Orange Blossom,Jasmine,Lavender,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean Paul GAULTIER,Scandal,288.0,EDP,Women,Floral,"Patchouli, Beeswax, Caramel, Licorice","Honey, Gardenia, Jasmine, Orange Blossom, Peach",0,2.0,0.3142301278488049,9,Patchouli,Beeswax,Caramel,Licorice,,,,,,,,,Honey,Gardenia,Jasmine,Orange Blossom,Peach,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BURBERRY,Mr. Burberry,179.95,EDP,Men,Woody,"Patchouli, Amber, Sandalwood, Vetiver, Benzoin and Cinnamon","Lavender, Cedar, Nutmeg",1,2.0,0.1941078376876042,10,Patchouli,Amber,Salwood,Sandalwood,Vetiver,Benzoin,Cinnamon,,,,,,Lavender,Cedar,Nutmeg,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajmal,Raindrops,47.95,EDP,Women,Fruity,Floral Ambery Woody,Animalistic Floral,0,2.0,0.0473596442468037,2,Floral Ambery Woody,,,,,,,,,,,,Animalistic Floral,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GUCCI,Guilty Absolute,332.3,EDP,Women,Spicy,"Patchouli, Amber","Vetiver, Cypress, Bulgarian Rose, Woody Notes",0,2.0,0.363479710950528,6,Patchouli,Amber,,,,,,,,,,,Vetiver,Cypress,Bulgarian Rose,Woody Notes,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BURBERRY,Mr. Burberry,200.0,EDP,Men,Woody,"Patchouli, Amber, Sandalwood, Vetiver, Benzoin Cinnamon","Lavender, Cedar, Nutmeg",1,2.0,0.2163979988882712,9,Patchouli,Amber,Salwood,Sandalwood,Vetiver,Benzoin Cinnamon,,,,,,,Lavender,Cedar,Nutmeg,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.CASANOVA,ICQ,76.3,EDT,Men,Fresh,"Wood, Cedar Wood, Patchouli, Animal, Sandalwood","Floral, Ylang-Ylang, Jasmin, Cyclamen, Rosewood",1,1.0,0.0788771539744302,11,Wood,Cedar Wood,Patchouli,Animal,Salwood,Sandalwood,,,,,,,Floral,Ylang-Ylang,Jasmin,Cyclamen,Rosewood,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
UNITED COLORS OF BENETTON,Cold,27.95,EDT,Women,Spicy,"Amber, Frankincense, Musk, Patchouli, Vanilla, Vetiver","Coriander, Cumin, Pimiento",0,1.0,0.0251250694830461,10,Amber,Frankincense,Musk,Patchouli,Vanilla,Vetiver,,,,,,,Cori,er,Cumin,Pimiento,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
YSL,Supreme Bouquet,699.0,EDP,Unisex,Woody,"Amber, Musk and Patchouli","Tuberose, Jasmine and Ylang-Ylang",2,2.0,0.7711506392440244,6,Amber,Musk,Patchouli,,,,,,,,,,Tuberose,Jasmine,Ylang-Ylang,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOMMY HILFIGER,Tommy,129.0,EDT,Men,Spicy,"Amber, Cactus And Cotton","Cranberry, Rose And Apple",1,1.0,0.1374652584769316,4,Amber,Cactus  Cotton,,,,,,,,,,,Cranberry,Rose  Apple,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
